date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-01-01,2,25830,LK22,67.0,28.35821,71.97761,106.07462,290.5368,874.4328,967.18805,43.33495,37.584026,90.45913,final
2022-01-11,2,25830,LK22,67.0,8.238806,56.89602,59.029854,231.92786,817.95526,920.608,21.388784,27.025042,88.9097,final
2022-01-21,2,25830,LK22,67.0,17.0,54.214924,53.597015,183.08856,647.806,856.4518,37.152798,31.15395,75.779755,final
2022-02-01,2,25830,LK22,67.0,37.865673,44.043285,63.104477,155.15424,483.41788,787.20544,87.403755,42.524303,61.652927,final
2022-02-11,2,25830,LK22,67.0,127.9403,30.81393,182.80597,129.07214,529.9552,705.9522,371.1972,140.0783,75.24489,final
2022-02-21,2,25830,LK22,67.0,10.850746,26.296518,176.65671,101.15373,364.38806,607.703,50.646996,171.12607,60.288273,final
2022-03-01,2,25830,LK22,67.0,48.343285,34.520897,187.13434,91.63134,356.31345,537.3224,134.97488,198.83232,66.623375,final
2022-03-11,2,25830,LK22,67.0,47.58209,34.323383,106.77612,95.1408,348.61194,456.1408,133.7171,111.61896,76.68199,final
2022-03-21,2,25830,LK22,67.0,13.970149,42.14428,109.895515,110.988556,340.14926,395.23087,40.238495,99.05763,86.23754,final
2022-04-01,2,25830,LK22,67.0,95.37313,52.604977,156.92537,129.07263,407.16418,375.85822,174.24385,120.77437,108.21985,final
2022-04-11,2,25830,LK22,67.0,45.19403,61.613434,154.53731,156.36269,444.11942,380.57562,75.35121,98.868774,116.48024,final
2022-04-21,2,25830,LK22,67.0,57.50746,58.742287,198.07463,172.9607,484.6269,385.103,98.06278,114.11207,125.51221,final
2022-05-01,2,25830,LK22,67.0,31.686567,64.16368,134.38806,184.5194,478.44778,405.2234,53.043114,73.54818,117.849884,final
2022-05-11,2,25830,LK22,67.0,18.537313,54.65622,107.731346,177.5622,369.04474,429.06567,39.454918,61.74956,86.172386,final
2022-05-21,2,25830,LK22,67.0,54.656715,42.243782,104.8806,161.06367,412.85074,445.01294,126.274216,66.167755,92.85305,final
2022-06-01,2,25830,LK22,67.0,15.373135,25.890049,88.56717,122.79005,379.88058,436.38208,65.95371,73.21945,87.19896,final
2022-06-11,2,25830,LK22,67.0,51.52239,20.322886,121.55223,88.45672,383.8209,422.3816,223.20674,135.41266,90.977455,final
2022-06-21,2,25830,LK22,67.0,8.791045,19.659204,75.68657,65.87214,378.6418,399.8965,55.92656,113.848076,94.75058,final
2022-07-01,2,25830,LK22,67.0,8.761194,22.67214,69.07463,62.65423,292.02988,369.96368,49.72942,109.49003,79.21564,final
2022-07-11,2,25830,LK22,67.0,14.447762,25.617413,32.0,67.94875,261.2836,333.96765,63.51863,50.720535,78.55723,final
2022-07-21,2,25830,LK22,67.0,115.76119,25.276617,138.97015,73.56617,319.53732,300.50198,398.8596,183.24701,106.23084,final
2022-08-01,2,25830,LK22,67.0,54.880596,17.75373,185.08955,68.64776,342.73135,254.09204,263.16827,258.10638,134.21152,final
2022-08-11,2,25830,LK22,67.0,10.298508,29.022388,180.94029,72.052734,334.49255,228.4582,44.966,241.31563,145.41899,final
2022-08-21,2,25830,LK22,67.0,141.49254,32.718407,206.67165,79.49453,421.32837,218.93285,388.38474,250.5152,190.38225,final
2022-09-01,2,25830,LK22,67.0,82.522385,43.61443,234.31343,105.355225,488.47766,236.65721,180.03375,216.85736,204.20563,final
2022-09-11,2,25830,LK22,67.0,5.1641793,39.12587,229.17911,115.45871,442.11945,255.4602,23.034512,194.40613,171.66516,final
2022-09-21,2,25830,LK22,67.0,27.014925,63.600994,114.701485,146.3413,460.3433,299.40198,46.668304,79.093735,152.8713,final
2022-10-01,2,25830,LK22,67.0,47.880596,68.01741,80.0597,170.74428,499.4627,344.74725,72.421906,48.3997,144.23636,final
2022-10-11,2,25830,LK22,67.0,124.089554,105.43035,198.98508,237.04875,609.10443,424.5602,116.896805,84.274376,142.9612,final
2022-10-21,2,25830,LK22,67.0,87.16418,121.36965,259.13434,294.8174,580.50745,520.65326,72.932205,88.098404,111.386635,final
2022-11-01,2,25830,LK22,67.0,178.28358,111.94179,389.5373,338.7418,703.91046,614.8413,156.73062,114.77723,114.36967,final
2022-11-11,2,25830,LK22,67.0,58.014927,111.14975,323.46268,344.46118,751.6269,696.9686,54.253174,93.99118,107.78643,final
2022-11-21,2,25830,LK22,67.0,8.522388,126.588554,244.82089,349.6801,618.65674,790.8388,10.276265,70.43555,78.36471,final
2022-12-01,2,25830,LK22,67.0,103.13433,105.10746,169.67165,342.84576,639.26874,852.33185,98.208,50.215256,75.14812,final
2022-12-11,2,25830,LK22,67.0,175.16418,116.06319,286.82092,347.75922,809.26874,929.26917,148.8183,82.72524,87.155685,final
2022-12-21,2,25830,LK22,67.0,177.58209,103.27114,455.8806,324.4418,959.8358,968.93933,168.63412,139.89743,99.06529,final
2023-01-01,2,25830,LK22,67.0,34.865673,71.97761,387.61194,290.5368,946.82086,967.18805,51.788666,132.84706,97.905014,final
2023-01-11,2,25830,LK22,67.0,15.865672,56.89602,228.31345,231.92786,838.597,920.608,33.71085,98.474464,91.13977,final
2023-01-21,2,25830,LK22,67.0,99.50746,54.214924,150.2388,183.08856,850.94025,856.4518,176.48839,82.53495,99.36021,final
2023-02-01,2,25830,LK22,67.0,86.16418,44.043285,201.53731,155.15424,758.82086,787.20544,185.88513,128.9615,96.417015,final
2023-02-11,2,25830,LK22,67.0,7.4179106,30.81393,193.08954,129.07214,708.2239,705.9522,34.67341,147.74847,100.31953,final
2023-02-21,2,25830,LK22,67.0,27.731344,26.296518,121.31343,101.15373,727.4328,607.703,104.584625,118.99104,119.54124,final
2023-03-01,2,25830,LK22,67.0,23.179104,34.520897,58.328358,91.63134,647.47754,537.3224,71.30178,65.53605,120.31175,final
2023-03-11,2,25830,LK22,67.0,69.29851,34.323383,120.208954,95.1408,541.612,456.1408,188.9423,125.0329,118.53473,final
2023-03-21,2,25830,LK22,67.0,32.074627,42.14428,124.552246,110.988556,396.10446,395.23087,78.64078,111.69399,100.21827,final
2023-04-01,2,25830,LK22,67.0,34.298508,52.604977,135.67165,129.07263,395.5373,375.85822,68.22068,104.921974,105.16703,final
2023-04-11,2,25830,LK22,67.0,20.402985,61.613434,86.77612,156.36269,400.07462,380.57562,38.134926,56.875675,105.057106,final
2023-04-21,2,25830,LK22,67.0,95.55224,58.742287,150.25372,172.9607,396.11942,385.103,157.7481,87.240456,102.823975,final
2023-05-01,2,25830,LK22,67.0,244.29851,64.16368,360.25372,184.5194,554.2537,405.2234,360.44714,192.7263,136.32907,final
2023-05-11,2,25830,LK22,67.0,37.328358,54.65622,377.1791,177.5622,584.1642,429.06567,70.953804,209.34186,135.73158,final
2023-05-21,2,25830,LK22,67.0,93.86567,42.243782,375.49252,161.06367,650.2985,445.01294,209.26704,229.12448,145.6177,final
2023-06-01,2,25830,LK22,67.0,13.791045,25.890049,144.98508,122.79005,640.9104,436.38208,60.832035,117.368355,146.33815,final
2023-06-11,2,25830,LK22,67.0,67.32836,20.322886,174.98508,88.45672,638.9403,422.3816,285.62448,192.58655,150.67104,final
2023-06-21,2,25830,LK22,67.0,52.268658,19.659204,133.38806,65.87214,659.13434,399.8965,232.24048,195.2644,164.0257,final
2023-07-01,2,25830,LK22,67.0,44.0597,22.67214,163.65671,62.65423,668.8955,369.96368,177.28914,249.29218,179.72287,final
2023-07-11,2,25830,LK22,67.0,10.970149,25.617413,107.2985,67.94875,659.4627,333.96765,52.160347,153.94164,196.0254,final
2023-07-21,2,25830,LK22,67.0,13.104478,25.276617,68.13433,73.56617,577.01495,300.50198,59.796894,93.08629,190.51102,final
2023-08-01,2,25830,LK22,67.0,9.80597,17.75373,33.880596,68.64776,342.5224,254.09204,65.07052,52.792637,134.13087,final
2023-08-11,2,25830,LK22,67.0,10.432836,29.022388,33.343285,72.052734,315.6269,228.4582,45.360825,49.76239,137.33803,final
2023-08-21,2,25830,LK22,67.0,39.9403,32.718407,60.179108,79.49453,261.70148,218.93285,119.14687,77.14003,119.09887,final
2023-09-01,2,25830,LK22,67.0,34.925373,43.61443,85.29851,105.355225,282.83582,236.65721,82.12659,81.82531,119.10913,final
2023-09-11,2,25830,LK22,67.0,39.58209,39.12587,114.44777,115.45871,255.08955,255.4602,101.033905,99.16075,99.85769,final
2023-09-21,2,25830,LK22,67.0,87.56716,63.600994,162.07462,146.3413,290.38806,299.40198,134.9356,110.39592,97.03881,final
2023-10-01,2,25830,LK22,67.0,130.83582,68.01741,257.98505,170.74428,377.16418,344.74725,186.03209,149.64073,109.26868,final
2023-10-11,2,25830,LK22,67.0,162.53731,105.43035,380.9403,237.04875,528.7313,424.5602,151.7131,159.44734,124.25064,final
2023-10-21,2,25830,LK22,67.0,119.970146,121.36965,413.34326,294.8174,635.597,520.65326,98.892525,139.53267,121.86684,final
2023-11-01,2,25830,LK22,67.0,227.13432,111.94179,509.64178,338.7418,852.92535,614.8413,198.50418,149.71754,138.41049,final
2023-11-11,2,25830,LK22,67.0,128.77612,111.14975,475.88058,344.46118,971.2687,696.9686,115.17556,137.6063,139.07582,final
2023-11-21,2,25830,LK22,67.0,97.19403,126.588554,453.1045,349.6801,1028.5225,790.8388,77.66179,129.1599,129.8658,final
2023-12-01,2,25830,LK22,67.0,182.67165,105.10746,408.64178,342.84576,1176.2687,852.33185,170.44408,118.91528,137.7843,final
2023-12-11,2,25830,LK22,67.0,175.49254,116.06319,455.35822,347.75922,1312.1792,929.26917,149.08952,130.5021,140.98497,final
2023-12-21,2,25830,LK22,67.0,73.208954,103.27114,431.37314,324.4418,1297.8209,968.93933,72.23435,132.45834,133.76817,final
2024-01-01,2,25830,LK22,67.0,263.4179,71.97761,512.1194,290.5368,1430.4031,967.18805,348.69608,174.9763,147.64665,final
2024-01-11,2,25830,LK22,67.0,14.731343,56.89602,351.35822,231.92786,1282.597,920.608,31.878208,150.4079,139.10825,final
2024-01-21,2,25830,LK22,67.0,24.19403,54.214924,302.3433,183.08856,1186.8208,856.4518,49.30181,163.4035,138.35027,final
2024-02-01,2,25830,LK22,67.0,6.0895524,44.043285,45.014927,155.15424,965.77606,787.20544,22.611765,31.229225,122.540955,final
2024-02-11,2,25830,LK22,67.0,4.6865673,30.81393,34.97015,129.07214,841.6865,705.9522,27.046925,29.81242,119.0919,final
2024-02-21,2,25830,LK22,67.0,9.089552,26.296518,19.865671,101.15373,753.58203,607.703,45.01955,23.424208,123.80909,final
2024-03-01,2,25830,LK22,67.0,5.283582,34.520897,19.059702,91.63134,576.194,537.3224,26.020618,24.898445,107.16761,final
2024-03-11,2,25830,LK22,67.0,1.0149254,34.323383,15.38806,95.1408,401.71637,456.1408,15.296052,20.359394,88.19787,final
2024-03-21,2,25830,LK22,67.0,17.328358,42.14428,23.626865,110.988556,345.8358,395.23087,47.361755,24.680767,87.65835,final
2024-04-01,2,25830,LK22,67.0,18.80597,52.604977,37.149254,129.07263,101.22388,375.85822,41.326237,31.437626,27.890661,final
2024-04-11,2,25830,LK22,67.0,41.567165,61.613434,77.70149,156.36269,128.05971,380.57562,69.90657,51.25193,34.509365,final
2024-04-21,2,25830,LK22,67.0,29.134329,58.742287,89.50746,172.9607,133.0,385.103,53.55053,53.10581,35.375275,final
2024-05-01,2,25830,LK22,67.0,42.671642,64.16368,113.37314,184.5194,169.58209,405.2234,68.925835,62.45964,42.55781,final
2024-05-11,2,25830,LK22,67.0,159.26866,54.65622,231.07463,177.5622,324.16418,429.06567,275.35883,129.31189,75.83281,final
2024-05-21,2,25830,LK22,67.0,52.83582,42.243782,254.77612,161.06367,367.91046,445.01294,122.41997,156.43164,82.86661,final
2024-06-01,2,25830,LK22,67.0,30.985075,25.890049,243.08955,122.79005,393.61194,436.38208,116.49407,194.1384,90.309944,final
2024-06-11,2,25830,LK22,67.0,8.970149,20.322886,92.79104,88.45672,401.56717,422.3816,55.168076,104.63778,95.12978,final
2024-06-21,2,25830,LK22,67.0,9.044776,19.659204,49.0,65.87214,393.28357,399.8965,56.95551,76.19355,98.36675,final
2024-07-01,2,25830,LK22,67.0,11.223881,22.67214,29.238806,62.65423,385.70148,369.96368,58.628933,50.60853,104.19716,final
2024-07-11,2,25830,LK22,67.0,11.746268,25.617413,32.014927,67.94875,355.8806,333.96765,54.695248,50.740997,106.464615,final
2024-07-21,2,25830,LK22,67.0,6.970149,25.276617,29.9403,73.56617,333.71643,300.50198,39.53595,44.47245,110.87209,final
2024-08-01,2,25830,LK22,67.0,20.955223,17.75373,39.67164,68.64776,312.00003,254.09204,114.07019,60.655804,122.35036,final
2024-08-11,2,25830,LK22,67.0,66.0597,29.022388,93.98508,72.052734,218.79102,228.4582,208.86159,128.46407,95.85913,final
2024-08-21,2,25830,LK22,67.0,14.850746,32.718407,101.86567,79.49453,180.80597,218.93285,52.628803,126.47643,82.97397,final
2024-09-01,2,25830,LK22,67.0,13.597015,43.61443,94.50746,105.355225,163.41791,236.65721,38.254105,90.170135,69.6929,final
2024-09-11,2,25830,LK22,67.0,6.850746,39.12587,35.298508,115.45871,161.2985,255.4602,26.856686,33.45421,63.847946,final
2024-09-21,2,25830,LK22,67.0,31.134329,63.600994,51.582092,146.3413,183.38805,299.40198,52.673183,37.38708,61.88792,final
2024-10-01,2,25830,LK22,67.0,117.41791,68.01741,155.40298,170.74428,289.5821,344.74725,167.65578,91.270676,84.227135,final
2024-10-11,2,25830,LK22,67.0,80.67164,105.43035,229.22388,237.04875,358.50745,424.5602,77.579796,96.767235,84.62316,final
